,number_of_siblings,direct_admission,CCA,learning_style,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport
6746,2,No,None,Auditory,Male,Yes,67.0,15.0,6.0,16.0,17.0,96.0,22:30,6:30,private transport
6747,1,Yes,None,Visual,Female,No,84.0,12.0,5.0,16.0,8.0,94.0,22:30,6:30,private transport
6748,1,Yes,Sports,Auditory,Male,Yes,70.0,13.0,8.0,16.0,7.0,95.0,21:30,5:30,public transport
6749,1,No,Arts,Visual,Female,No,57.0,2.0,28.0,15.0,5.0,92.0,21:00,5:00,public transport
6750,0,No,Clubs,Visual,Male,No,80.0,16.0,8.0,15.0,7.0,98.0,22:30,6:30,private transport
6751,1,No,Arts,Visual,Male,No,78.0,14.0,11.0,15.0,10.0,98.0,22:00,6:00,private transport
6752,1,No,Clubs,Visual,Male,No,55.0,22.0,4.0,15.0,9.0,91.0,23:00,7:00,walk
6753,1,No,None,Visual,Female,Yes,69.0,8.0,16.0,15.0,20.0,91.0,22:30,6:30,private transport
6754,1,Yes,Clubs,Visual,Female,Yes,93.0,8.0,13.0,16.0,9.0,93.0,21:00,5:00,public transport
6755,0,Yes,None,Visual,Female,No,83.0,10.0,10.0,15.0,8.0,91.0,22:00,6:00,private transport
6756,2,No,None,Visual,Female,Yes,81.0,6.0,11.0,15.0,7.0,93.0,21:30,5:30,public transport
6757,2,No,Sports,Visual,Male,Yes,72.0,18.0,4.0,15.0,7.0,93.0,22:00,6:00,private transport
6758,1,No,Clubs,Auditory,Female,Yes,57.0,15.0,15.0,15.0,13.0,92.0,21:00,5:00,public transport
6759,0,No,None,Auditory,Female,Yes,94.0,9.0,12.0,15.0,10.0,93.0,23:00,7:00,walk
6760,0,Yes,None,Visual,Female,Yes,81.0,4.0,12.0,16.0,8.0,96.0,22:30,6:30,private transport
6761,1,Yes,None,Visual,Female,Yes,92.0,8.0,13.0,15.0,9.0,98.0,23:00,7:00,walk
6762,0,No,Sports,Visual,Male,No,90.0,18.0,5.0,15.0,9.0,90.0,21:30,5:30,public transport
6763,1,Yes,Clubs,Auditory,Male,No,43.0,19.0,5.0,16.0,7.0,100.0,22:00,6:00,private transport
6764,0,No,Sports,Auditory,Male,Yes,67.0,14.0,7.0,16.0,10.0,93.0,22:00,6:00,private transport
6765,2,Yes,Arts,Auditory,Female,No,46.0,23.0,1.0,16.0,8.0,68.0,0:30,6:30,private transport
6766,0,Yes,None,Visual,Male,No,81.0,15.0,0.0,16.0,9.0,92.0,23:00,7:00,walk
6767,0,Yes,None,Visual,Male,No,85.0,14.0,6.0,16.0,8.0,91.0,21:30,5:30,public transport
6768,1,No,Arts,Auditory,Female,No,46.0,22.0,2.0,16.0,8.0,96.0,21:00,5:00,public transport
6769,2,No,Sports,Auditory,Female,Yes,70.0,14.0,7.0,15.0,19.0,92.0,21:30,5:30,public transport
6770,2,No,Clubs,Visual,Male,No,70.0,13.0,10.0,16.0,12.0,97.0,22:00,6:00,private transport
6771,2,No,Arts,Visual,Male,No,62.0,11.0,9.0,15.0,18.0,97.0,22:30,6:30,private transport
6772,0,No,None,Visual,Female,Yes,90.0,17.0,6.0,15.0,6.0,91.0,23:00,7:00,walk
6773,1,No,Sports,Visual,Female,No,54.0,4.0,26.0,16.0,13.0,96.0,21:00,5:00,public transport
6774,1,Yes,Clubs,Visual,Male,Yes,77.0,13.0,4.0,16.0,8.0,98.0,21:00,5:00,public transport
6775,2,No,None,Visual,Female,No,79.0,10.0,7.0,16.0,9.0,91.0,22:00,5:00,public transport
6776,1,No,Sports,Auditory,Male,No,51.0,20.0,4.0,16.0,4.0,90.0,21:30,5:30,public transport
6777,2,No,Arts,Visual,Female,No,70.0,19.0,4.0,15.0,15.0,96.0,21:30,5:30,public transport
6778,1,No,None,Auditory,Female,No,63.0,2.0,25.0,16.0,18.0,97.0,23:00,7:00,walk
6779,1,Yes,Clubs,Visual,Female,Yes,79.0,5.0,12.0,16.0,7.0,97.0,22:30,6:30,private transport
6780,0,No,None,Visual,Male,No,91.0,17.0,1.0,15.0,8.0,96.0,21:30,5:30,public transport
6781,0,No,Arts,Auditory,Female,No,67.0,0.0,27.0,16.0,20.0,95.0,21:30,5:30,public transport
6782,0,No,Clubs,Auditory,Female,No,55.0,5.0,16.0,16.0,10.0,91.0,22:30,6:30,private transport
6783,1,Yes,None,Visual,Male,Yes,95.0,11.0,6.0,16.0,9.0,90.0,22:30,6:30,private transport
6784,1,Yes,Arts,Auditory,Female,No,80.0,8.0,13.0,15.0,8.0,100.0,22:00,6:00,private transport
6785,1,No,Sports,Auditory,Male,Yes,65.0,21.0,7.0,15.0,17.0,97.0,23:00,7:00,walk
6786,1,No,Arts,Auditory,Female,No,51.0,12.0,12.0,16.0,17.0,91.0,23:00,7:00,walk
6787,0,No,Clubs,Auditory,Male,No,66.0,23.0,4.0,15.0,5.0,97.0,22:30,6:30,private transport
6788,1,Yes,Clubs,Visual,Male,Yes,95.0,17.0,0.0,16.0,7.0,99.0,23:00,7:00,walk
6789,0,Yes,Arts,Auditory,Male,No,75.0,14.0,6.0,16.0,5.0,93.0,23:00,7:00,walk
6790,2,No,None,Auditory,Female,Yes,74.0,16.0,5.0,15.0,14.0,100.0,21:00,5:00,public transport
6791,1,Yes,Clubs,Visual,Female,Yes,49.0,14.0,16.0,15.0,1.0,59.0,23:30,5:30,public transport
6792,0,No,None,Auditory,Male,No,74.0,20.0,0.0,15.0,11.0,92.0,22:30,6:30,private transport
6793,2,No,Arts,Visual,Male,No,69.0,19.0,4.0,16.0,17.0,91.0,23:00,7:00,walk
6794,0,No,None,Auditory,Female,No,62.0,12.0,9.0,16.0,10.0,92.0,22:00,6:00,private transport
6795,0,Yes,Sports,Visual,Male,Yes,87.0,18.0,2.0,15.0,8.0,92.0,23:00,7:00,walk
6796,2,No,Clubs,Visual,Female,Yes,82.0,11.0,8.0,15.0,8.0,98.0,21:30,5:30,public transport
6797,1,Yes,None,Visual,Male,Yes,88.0,15.0,2.0,15.0,7.0,96.0,21:30,5:30,public transport
6798,0,Yes,Arts,Auditory,Female,Yes,72.0,1.0,15.0,16.0,12.0,99.0,22:00,6:00,private transport
6799,0,No,Clubs,Visual,Female,Yes,93.0,5.0,13.0,16.0,9.0,96.0,23:00,7:00,walk
6800,2,No,Arts,Auditory,Female,No,45.0,20.0,3.0,15.0,4.0,93.0,23:00,7:00,walk
6801,0,No,Sports,Visual,Female,Yes,90.0,6.0,12.0,16.0,7.0,96.0,21:30,5:30,public transport
6802,2,No,None,Auditory,Female,Yes,67.0,23.0,0.0,16.0,11.0,92.0,21:30,5:30,public transport
6803,1,No,Sports,Auditory,Male,Yes,55.0,22.0,0.0,16.0,13.0,90.0,21:00,5:00,public transport
6804,1,Yes,None,Visual,Female,Yes,91.0,21.0,0.0,16.0,9.0,94.0,21:30,5:30,public transport
6805,1,No,Arts,Visual,Female,No,47.0,16.0,14.0,16.0,7.0,58.0,1:00,6:00,private transport
6806,0,No,None,Auditory,Female,Yes,79.0,4.0,17.0,15.0,6.0,99.0,21:00,5:00,public transport
6807,1,No,Sports,Visual,Male,No,66.0,17.0,11.0,15.0,8.0,99.0,21:00,5:00,public transport
6808,1,No,None,Auditory,Female,Yes,64.0,4.0,23.0,16.0,11.0,97.0,22:30,6:30,private transport
6809,2,No,Clubs,Visual,Male,Yes,63.0,15.0,7.0,15.0,17.0,94.0,23:00,7:00,walk
6810,1,Yes,None,Visual,Male,Yes,87.0,10.0,7.0,16.0,9.0,96.0,23:00,7:00,walk
6811,1,No,Sports,Auditory,Male,Yes,45.0,13.0,15.0,15.0,2.0,57.0,1:30,6:30,private transport
6812,0,No,None,Auditory,Female,Yes,81.0,1.0,21.0,16.0,5.0,91.0,21:30,5:30,public transport
6813,1,No,Sports,Auditory,Female,No,50.0,20.0,5.0,16.0,1.0,74.0,0:00,7:00,walk
6814,0,Yes,Arts,Visual,Male,No,74.0,15.0,0.0,15.0,8.0,96.0,21:30,5:30,public transport
6815,2,No,Clubs,Auditory,Male,No,43.0,23.0,0.0,15.0,11.0,85.0,21:30,5:30,public transport
6816,2,No,Sports,Auditory,Female,No,43.0,15.0,7.0,16.0,4.0,55.0,0:00,5:00,public transport
6817,1,No,Sports,Auditory,Male,Yes,69.0,28.0,0.0,16.0,19.0,92.0,21:30,5:30,public transport
6818,1,No,Arts,Visual,Male,No,56.0,26.0,0.0,15.0,15.0,98.0,22:00,6:00,private transport
6819,1,No,Arts,Visual,Female,No,50.0,26.0,4.0,16.0,10.0,61.0,1:30,6:30,private transport
6820,1,No,Arts,Auditory,Female,Yes,59.0,21.0,3.0,16.0,9.0,96.0,23:00,7:00,walk
6821,1,Yes,Clubs,Auditory,Female,Yes,72.0,10.0,7.0,15.0,11.0,100.0,22:30,6:30,private transport
6822,0,No,None,Auditory,Male,No,61.0,23.0,4.0,15.0,7.0,100.0,21:00,5:00,public transport
6823,1,Yes,None,Auditory,Female,Yes,42.0,0.0,28.0,16.0,11.0,63.0,0:30,6:30,private transport
6824,1,No,Clubs,Auditory,Female,Yes,61.0,17.0,5.0,15.0,19.0,95.0,21:30,5:30,public transport
6825,1,Yes,Clubs,Auditory,Male,Yes,80.0,17.0,0.0,16.0,6.0,94.0,22:30,6:30,private transport
6826,0,No,Clubs,Auditory,Female,No,94.0,0.0,25.0,16.0,8.0,94.0,21:00,5:00,public transport
6827,1,No,Clubs,Visual,Female,No,55.0,29.0,1.0,16.0,9.0,95.0,22:00,6:00,private transport
6828,0,No,Arts,Auditory,Male,No,59.0,12.0,15.0,16.0,15.0,91.0,22:00,6:00,private transport
6829,0,No,None,Visual,Female,Yes,68.0,11.0,10.0,15.0,9.0,98.0,23:00,7:00,walk
6830,2,No,Arts,Auditory,Female,No,58.0,15.0,5.0,15.0,18.0,100.0,23:00,7:00,walk
6831,0,No,None,Auditory,Male,Yes,94.0,23.0,2.0,16.0,6.0,90.0,22:30,6:30,private transport
6832,1,No,Sports,Visual,Male,No,47.0,27.0,3.0,15.0,7.0,87.0,22:30,6:30,private transport
6833,0,Yes,Clubs,Visual,Female,No,70.0,11.0,5.0,16.0,18.0,94.0,21:00,5:00,public transport
6834,1,No,Arts,Auditory,Female,Yes,70.0,15.0,7.0,16.0,12.0,94.0,23:00,7:00,walk
6835,1,No,None,Auditory,Female,Yes,68.0,15.0,13.0,16.0,13.0,90.0,22:00,5:00,public transport
6836,2,No,None,Visual,Female,Yes,75.0,8.0,11.0,15.0,11.0,99.0,22:30,6:30,private transport
6837,1,No,Clubs,Auditory,Male,Yes,61.0,14.0,8.0,15.0,13.0,92.0,21:00,5:00,public transport
6838,1,Yes,Clubs,Auditory,Female,Yes,54.0,0.0,25.0,16.0,13.0,97.0,21:30,5:30,public transport
6839,2,No,Arts,Auditory,Female,Yes,37.0,2.0,20.0,15.0,5.0,76.0,22:30,5:30,public transport
6840,1,No,Clubs,Auditory,Female,No,50.0,25.0,0.0,15.0,19.0,100.0,23:00,7:00,walk
6841,2,No,Arts,Auditory,Female,No,68.0,2.0,17.0,15.0,18.0,94.0,23:00,7:00,walk
6842,1,No,Arts,Auditory,Female,Yes,69.0,7.0,21.0,15.0,14.0,93.0,21:30,5:30,public transport
6843,2,No,Clubs,Auditory,Female,Yes,79.0,19.0,2.0,15.0,8.0,98.0,22:00,6:00,private transport
6844,0,No,Arts,Visual,Male,Yes,75.0,13.0,15.0,16.0,7.0,95.0,23:00,7:00,walk
6845,2,No,Clubs,Visual,Male,Yes,55.0,19.0,3.0,15.0,15.0,98.0,22:00,6:00,private transport
6846,1,Yes,Clubs,Auditory,Male,Yes,81.0,12.0,7.0,16.0,9.0,91.0,22:00,6:00,private transport
6847,2,Yes,Arts,Auditory,Female,No,56.0,9.0,7.0,16.0,17.0,98.0,22:30,6:30,private transport
6848,1,No,Arts,Auditory,Male,No,42.0,19.0,5.0,15.0,14.0,95.0,22:30,6:30,private transport
6849,2,No,Arts,Auditory,Male,Yes,65.0,17.0,6.0,16.0,18.0,94.0,23:00,7:00,walk
6850,1,No,Clubs,Auditory,Female,Yes,59.0,25.0,6.0,15.0,13.0,92.0,21:00,5:00,public transport
6851,1,No,Clubs,Auditory,Female,Yes,60.0,5.0,19.0,15.0,12.0,94.0,21:00,5:00,public transport
6852,0,No,Arts,Auditory,Female,Yes,66.0,16.0,11.0,15.0,9.0,93.0,22:30,6:30,private transport
6853,0,Yes,Sports,Auditory,Female,No,67.0,13.0,3.0,15.0,16.0,93.0,22:30,6:30,private transport
6854,0,No,None,Visual,Female,Yes,91.0,4.0,20.0,15.0,7.0,99.0,21:00,5:00,public transport
6855,2,Yes,None,Visual,Female,No,73.0,17.0,3.0,16.0,20.0,94.0,23:00,7:00,walk
6856,0,No,None,Visual,Male,No,78.0,20.0,7.0,16.0,7.0,93.0,23:00,7:00,walk
6857,1,No,Arts,Visual,Male,No,48.0,14.0,11.0,16.0,4.0,51.0,0:00,5:00,public transport
6858,1,No,Clubs,Auditory,Male,No,51.0,17.0,14.0,16.0,3.0,95.0,22:00,6:00,private transport
6859,1,No,Clubs,Auditory,Female,No,50.0,13.0,17.0,16.0,20.0,99.0,21:00,5:00,public transport
6860,0,No,Sports,Auditory,Female,No,61.0,8.0,19.0,15.0,12.0,90.0,22:00,6:00,private transport
6861,0,Yes,None,Visual,Female,Yes,83.0,0.0,16.0,16.0,8.0,96.0,23:00,7:00,walk
6862,0,No,None,Visual,Male,No,92.0,10.0,9.0,16.0,5.0,99.0,22:30,6:30,private transport
6863,2,No,Clubs,Auditory,Male,Yes,71.0,13.0,6.0,16.0,5.0,98.0,23:00,7:00,walk
6864,0,No,Sports,Auditory,Female,No,65.0,18.0,9.0,15.0,6.0,92.0,22:30,5:30,public transport
6865,2,No,Sports,Auditory,Male,Yes,69.0,15.0,8.0,16.0,8.0,92.0,21:00,5:00,public transport
6866,1,Yes,Clubs,Visual,Male,No,58.0,13.0,14.0,15.0,19.0,93.0,22:00,6:00,private transport
6867,1,Yes,None,Auditory,Male,Yes,78.0,11.0,9.0,16.0,6.0,92.0,22:00,6:00,private transport
6868,0,No,Sports,Visual,Male,No,75.0,17.0,10.0,16.0,5.0,93.0,22:30,6:30,private transport
6869,1,Yes,Arts,Auditory,Male,Yes,81.0,19.0,2.0,15.0,7.0,92.0,23:30,6:30,private transport
6870,1,No,Clubs,Auditory,Male,Yes,51.0,19.0,12.0,15.0,12.0,93.0,21:30,5:30,public transport
6871,2,No,Clubs,Visual,Female,Yes,77.0,19.0,0.0,15.0,10.0,91.0,22:30,6:30,private transport
6872,1,No,Arts,Auditory,Male,Yes,52.0,22.0,3.0,15.0,7.0,93.0,22:00,6:00,private transport
6873,1,Yes,None,Auditory,Female,Yes,79.0,18.0,3.0,16.0,9.0,92.0,0:00,7:00,walk
6874,2,Yes,Clubs,Auditory,Male,No,56.0,13.0,3.0,16.0,18.0,98.0,22:30,6:30,private transport
6875,0,No,None,Visual,Male,No,95.0,13.0,5.0,16.0,5.0,94.0,21:30,5:30,public transport
6876,1,Yes,Sports,Auditory,Female,No,43.0,5.0,23.0,15.0,14.0,89.0,23:00,7:00,walk
6877,1,Yes,Clubs,Auditory,Male,Yes,70.0,16.0,3.0,15.0,8.0,95.0,21:00,5:00,public transport
6878,1,No,Clubs,Auditory,Female,Yes,64.0,25.0,2.0,15.0,10.0,99.0,23:00,7:00,walk
6879,2,No,Clubs,Visual,Female,No,70.0,10.0,12.0,16.0,15.0,97.0,21:30,5:30,public transport
6880,1,Yes,Clubs,Auditory,Male,No,39.0,13.0,11.0,15.0,6.0,96.0,22:00,6:00,private transport
6881,1,Yes,None,Auditory,Female,Yes,77.0,9.0,11.0,15.0,9.0,98.0,22:30,6:30,private transport
6882,0,No,Arts,Auditory,Male,Yes,73.0,20.0,2.0,16.0,13.0,91.0,21:00,5:00,public transport
6883,2,Yes,None,Auditory,Female,No,45.0,9.0,15.0,16.0,7.0,97.0,21:00,5:00,public transport
6884,1,No,Arts,Auditory,Female,No,46.0,6.0,18.0,16.0,7.0,60.0,0:30,6:30,private transport
6885,2,No,Arts,Auditory,Female,No,56.0,15.0,7.0,15.0,8.0,93.0,22:30,6:30,private transport
6886,0,No,None,Visual,Male,Yes,89.0,16.0,7.0,16.0,8.0,99.0,21:00,5:00,public transport
6887,1,No,Arts,Auditory,Female,Yes,71.0,21.0,1.0,15.0,13.0,94.0,22:30,6:30,private transport
6888,1,Yes,Arts,Visual,Male,Yes,76.0,11.0,9.0,15.0,6.0,99.0,23:00,7:00,walk
6889,0,Yes,Clubs,Auditory,Female,Yes,79.0,10.0,10.0,16.0,5.0,95.0,23:00,7:00,walk
6890,1,No,Clubs,Auditory,Female,No,44.0,0.0,29.0,15.0,8.0,77.0,0:00,7:00,walk
6891,1,No,None,Visual,Male,Yes,81.0,18.0,7.0,16.0,8.0,93.0,22:30,6:30,private transport
6892,0,No,Sports,Auditory,Male,No,51.0,13.0,8.0,15.0,10.0,97.0,22:30,6:30,private transport
6893,1,No,None,Auditory,Male,Yes,62.0,20.0,8.0,15.0,5.0,93.0,23:00,7:00,walk
6894,0,No,None,Visual,Female,No,73.0,11.0,17.0,15.0,6.0,98.0,21:00,5:00,public transport
6895,2,Yes,Sports,Visual,Male,Yes,79.0,12.0,2.0,15.0,7.0,92.0,21:30,5:30,public transport
6896,0,Yes,None,Visual,Male,No,79.0,14.0,1.0,16.0,10.0,93.0,22:30,6:30,private transport
6897,0,No,Arts,Auditory,Female,Yes,67.0,1.0,21.0,16.0,14.0,93.0,23:00,7:00,walk
6898,1,No,Clubs,Auditory,Male,No,57.0,17.0,14.0,15.0,17.0,98.0,22:30,6:30,private transport
6899,0,No,None,Visual,Male,Yes,80.0,21.0,3.0,15.0,6.0,100.0,22:00,6:00,private transport
6900,2,No,Arts,Auditory,Male,Yes,59.0,10.0,10.0,15.0,6.0,99.0,21:30,5:30,public transport
6901,0,Yes,Clubs,Auditory,Male,Yes,79.0,20.0,0.0,15.0,9.0,99.0,22:00,6:00,private transport
6902,2,Yes,Sports,Visual,Female,No,74.0,4.0,11.0,16.0,10.0,96.0,23:00,7:00,walk
6903,1,No,None,Visual,Female,Yes,59.0,12.0,16.0,15.0,17.0,99.0,22:30,6:30,private transport
6904,1,No,Sports,Auditory,Female,No,47.0,22.0,3.0,16.0,9.0,89.0,23:00,6:00,private transport
6905,0,Yes,Sports,Auditory,Male,Yes,73.0,12.0,3.0,15.0,18.0,98.0,22:30,6:30,private transport
6906,1,No,Clubs,Auditory,Female,Yes,64.0,17.0,7.0,16.0,6.0,91.0,21:00,5:00,public transport
6907,0,No,Clubs,Auditory,Female,No,57.0,13.0,9.0,15.0,11.0,98.0,21:30,5:30,public transport
6908,1,No,Sports,Auditory,Female,No,51.0,24.0,6.0,16.0,10.0,95.0,22:30,6:30,private transport
6909,2,No,Sports,Auditory,Male,Yes,56.0,11.0,7.0,15.0,17.0,97.0,23:00,7:00,walk
6910,1,No,Sports,Auditory,Male,No,54.0,17.0,13.0,16.0,10.0,94.0,23:00,7:00,walk
6911,2,No,Sports,Visual,Male,No,71.0,14.0,9.0,15.0,11.0,99.0,23:00,7:00,walk
6912,1,No,Arts,Auditory,Female,No,54.0,17.0,8.0,15.0,19.0,95.0,23:00,7:00,walk
6913,0,Yes,Arts,Visual,Female,No,68.0,10.0,6.0,15.0,16.0,92.0,23:00,7:00,walk
6914,2,No,Arts,Visual,Female,No,69.0,14.0,9.0,16.0,8.0,98.0,23:00,7:00,walk
6915,0,Yes,None,Visual,Male,Yes,87.0,13.0,4.0,15.0,6.0,92.0,22:00,6:00,private transport
6916,0,Yes,None,Visual,Female,No,70.0,6.0,10.0,15.0,11.0,97.0,21:00,5:00,public transport
6917,2,No,None,Visual,Male,Yes,62.0,18.0,2.0,15.0,8.0,97.0,23:00,7:00,walk
6918,2,Yes,Clubs,Auditory,Male,Yes,63.0,13.0,3.0,16.0,14.0,90.0,21:00,5:00,public transport
6919,0,No,None,Visual,Female,Yes,96.0,12.0,7.0,15.0,7.0,94.0,21:30,5:30,public transport
6920,1,Yes,Sports,Auditory,Male,No,44.0,19.0,6.0,15.0,10.0,50.0,1:00,5:00,public transport
6921,1,No,Sports,Auditory,Female,Yes,59.0,14.0,13.0,16.0,14.0,98.0,22:30,6:30,private transport
6922,1,Yes,Clubs,Visual,Female,No,49.0,1.0,29.0,16.0,13.0,94.0,23:00,7:00,walk
6923,0,No,Sports,Auditory,Male,No,58.0,23.0,4.0,15.0,9.0,95.0,22:30,6:30,private transport
6924,0,Yes,Clubs,Visual,Female,Yes,85.0,9.0,8.0,15.0,9.0,92.0,21:30,5:30,public transport
6925,0,No,Clubs,Auditory,Male,Yes,69.0,17.0,5.0,15.0,17.0,90.0,22:30,6:30,private transport
6926,1,No,None,Visual,Male,Yes,71.0,21.0,3.0,15.0,10.0,97.0,21:00,5:00,public transport
6927,0,No,Sports,Auditory,Female,No,60.0,7.0,20.0,15.0,6.0,100.0,23:00,7:00,walk
6928,1,No,Arts,Auditory,Male,No,51.0,31.0,0.0,16.0,14.0,92.0,22:30,6:30,private transport
6929,1,No,None,Visual,Male,Yes,85.0,15.0,10.0,16.0,5.0,97.0,23:00,7:00,walk
6930,2,No,Sports,Visual,Male,Yes,73.0,19.0,0.0,15.0,19.0,90.0,21:30,5:30,public transport
6931,1,No,Arts,Auditory,Male,Yes,53.0,21.0,9.0,15.0,18.0,96.0,22:30,6:30,private transport
6932,1,No,None,Visual,Female,Yes,81.0,20.0,5.0,15.0,10.0,98.0,23:00,7:00,walk
6933,0,No,None,Auditory,Male,Yes,68.0,12.0,9.0,15.0,9.0,91.0,22:30,6:30,private transport
6934,2,No,Sports,Visual,Male,No,69.0,22.0,0.0,16.0,6.0,98.0,22:00,6:00,private transport
6935,1,No,Sports,Auditory,Female,No,62.0,10.0,17.0,16.0,10.0,91.0,21:00,5:00,public transport
6936,1,No,Sports,Visual,Male,Yes,70.0,20.0,4.0,16.0,16.0,90.0,22:30,6:30,private transport
6937,1,Yes,Arts,Auditory,Female,No,79.0,3.0,14.0,15.0,6.0,92.0,21:00,5:00,public transport
6938,1,No,Sports,Visual,Female,Yes,52.0,14.0,16.0,16.0,8.0,93.0,22:30,6:30,private transport
6939,1,No,None,Visual,Female,Yes,60.0,0.0,28.0,15.0,13.0,91.0,23:00,7:00,walk
6940,1,No,Clubs,Visual,Female,Yes,50.0,1.0,29.0,16.0,5.0,95.0,22:30,6:30,private transport
6941,0,No,Sports,Auditory,Male,No,71.0,22.0,0.0,15.0,5.0,93.0,22:00,6:00,private transport
6942,1,Yes,None,Visual,Female,Yes,98.0,9.0,8.0,16.0,6.0,92.0,21:30,5:30,public transport
6943,2,No,None,Visual,Male,Yes,72.0,20.0,2.0,16.0,18.0,96.0,22:00,6:00,private transport
6944,1,Yes,None,Auditory,Female,Yes,75.0,10.0,7.0,15.0,14.0,94.0,0:00,7:00,walk
6945,2,No,None,Visual,Male,Yes,82.0,10.0,7.0,16.0,6.0,98.0,23:00,7:00,walk
6946,1,No,Sports,Visual,Female,No,54.0,27.0,3.0,15.0,12.0,93.0,21:30,5:30,public transport
6947,1,No,Clubs,Auditory,Female,No,43.0,14.0,10.0,16.0,7.0,93.0,22:00,6:00,private transport
6948,1,No,Sports,Auditory,Female,Yes,70.0,20.0,8.0,15.0,18.0,95.0,21:00,5:00,public transport
6949,1,No,Clubs,Auditory,Female,Yes,66.0,4.0,18.0,16.0,18.0,94.0,21:30,5:30,public transport
6950,1,No,None,Auditory,Male,No,65.0,12.0,16.0,15.0,8.0,94.0,21:00,5:00,public transport
6951,1,Yes,Sports,Visual,Female,No,58.0,18.0,9.0,16.0,12.0,95.0,22:00,6:00,private transport
6952,1,Yes,Arts,Auditory,Female,No,56.0,10.0,15.0,15.0,7.0,95.0,23:00,7:00,walk
6953,0,No,Clubs,Auditory,Female,Yes,72.0,17.0,6.0,15.0,7.0,93.0,22:30,6:30,private transport
6954,2,Yes,Clubs,Visual,Male,No,72.0,15.0,5.0,15.0,20.0,97.0,23:00,7:00,walk
6955,1,No,Arts,Visual,Female,No,47.0,8.0,22.0,16.0,5.0,63.0,1:00,6:00,private transport
6956,1,Yes,Clubs,Visual,Female,No,55.0,16.0,11.0,15.0,8.0,95.0,22:30,6:30,private transport
6957,2,No,Clubs,Visual,Male,No,71.0,12.0,11.0,16.0,8.0,98.0,23:00,7:00,walk
6958,0,No,Arts,Visual,Female,No,75.0,2.0,25.0,15.0,10.0,97.0,21:30,5:30,public transport
6959,2,Yes,Arts,Auditory,Male,Yes,63.0,11.0,5.0,15.0,18.0,99.0,23:00,7:00,walk
6960,1,Yes,Arts,Visual,Female,No,46.0,7.0,23.0,15.0,7.0,66.0,23:30,5:30,public transport
6961,0,Yes,Clubs,Visual,Male,Yes,89.0,14.0,2.0,16.0,9.0,98.0,21:00,5:00,public transport
6962,0,Yes,Sports,Auditory,Female,Yes,75.0,10.0,6.0,15.0,11.0,98.0,23:00,7:00,walk
6963,0,Yes,Clubs,Visual,Male,No,77.0,16.0,2.0,16.0,10.0,92.0,21:30,5:30,public transport
6964,1,No,Arts,Visual,Female,No,54.0,25.0,5.0,16.0,19.0,91.0,22:00,6:00,private transport
6965,0,No,Clubs,Visual,Male,No,83.0,16.0,8.0,15.0,8.0,95.0,21:30,5:30,public transport
6966,2,No,Clubs,Auditory,Female,Yes,70.0,6.0,15.0,16.0,19.0,97.0,23:00,7:00,walk
6967,2,No,None,Visual,Male,No,80.0,17.0,0.0,16.0,7.0,97.0,22:30,6:30,private transport
6968,0,No,None,Visual,Female,Yes,87.0,15.0,8.0,16.0,5.0,95.0,21:30,5:30,public transport
6969,2,No,Clubs,Auditory,Male,Yes,44.0,23.0,0.0,15.0,3.0,73.0,23:30,5:30,public transport
6970,0,No,Arts,Auditory,Male,Yes,72.0,18.0,5.0,16.0,8.0,100.0,23:00,7:00,walk
6971,1,No,Sports,Visual,Male,Yes,62.0,12.0,16.0,16.0,14.0,95.0,22:30,6:30,private transport
6972,1,No,None,Auditory,Male,Yes,60.0,22.0,0.0,16.0,15.0,100.0,22:00,6:00,private transport
6973,0,No,Clubs,Auditory,Male,Yes,57.0,13.0,8.0,16.0,18.0,100.0,22:30,6:30,private transport
6974,2,No,Sports,Auditory,Male,Yes,70.0,15.0,6.0,15.0,7.0,98.0,22:00,6:00,private transport
6975,0,No,Sports,Auditory,Male,No,94.0,24.0,1.0,16.0,5.0,94.0,23:00,7:00,walk
6976,1,No,Arts,Auditory,Male,No,48.0,26.0,4.0,16.0,14.0,76.0,23:00,6:00,private transport
6977,1,No,None,Visual,Male,Yes,62.0,24.0,4.0,15.0,7.0,92.0,22:00,6:00,private transport
6978,1,No,Clubs,Auditory,Male,Yes,61.0,19.0,3.0,15.0,11.0,98.0,22:00,6:00,private transport
6979,2,No,None,Visual,Male,No,74.0,23.0,0.0,15.0,20.0,93.0,21:00,5:00,public transport
6980,1,No,Arts,Visual,Female,No,53.0,5.0,25.0,16.0,10.0,96.0,23:00,7:00,walk
6981,2,Yes,Arts,Visual,Male,Yes,68.0,14.0,0.0,15.0,19.0,95.0,23:00,7:00,walk
6982,1,No,None,Auditory,Female,Yes,64.0,20.0,7.0,15.0,18.0,98.0,21:30,5:30,public transport
6983,1,No,Arts,Auditory,Female,No,52.0,4.0,21.0,16.0,7.0,95.0,23:00,7:00,walk
6984,1,No,Arts,Auditory,Male,Yes,62.0,24.0,4.0,16.0,16.0,93.0,21:30,5:30,public transport
6985,1,Yes,Clubs,Auditory,Male,Yes,66.0,19.0,2.0,16.0,14.0,94.0,22:30,6:30,private transport
6986,1,Yes,Sports,Auditory,Female,Yes,43.0,19.0,9.0,16.0,5.0,66.0,23:00,5:00,public transport
